ID,GeoBox_0,GeoBox_1,GeoBox_2,GeoBox_3,GeoBox_4,GeoBox_5,Flags,FileDataID,WalkSpeed,RunSpeed,BloodID,FootprintTextureID,FootprintTextureLength,FootprintTextureWidth,FootprintParticleScale,FoleyMaterialID,FootstepCameraEffectID,DeathThudCameraEffectID,SoundID,SizeClass,CollisionWidth,CollisionHeight,WorldEffectScale,CreatureGeosetDataID,HoverHeight,AttachedEffectScale,ModelScale,MissileCollisionRadius,MissileCollisionPush,MissileCollisionRaise,MountHeight,OverrideLootEffectScale,OverrideNameScale,OverrideSelectionRadius,TamedPetBaseScale,MountScaleOtherIndex,MountScaleSelf,Field_11_0_0_54210_032,MountScaleOther_0,MountScaleOther_1
1,-6.07467460632,-2.91728591919,-0.33517983556,2.77613091469,3.09111475945,2.07008171082,12298,123020,2.5,8,1,7,18,12,1,0,0,0,5069,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,1.82219994068,0,0,0,1,0,1,0,1,1
2,-0.72686201334,-2.81178307533,-0.29240000248,1.90085995197,2.7817709446,2.88509607315,2,123105,2.5,8,1,0,18,12,1,0,0,0,2,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,1.50495004654,0,0,0,1,0,1,0,1,1
3,-1.45706701279,-0.51117098331,-0.00472099986,1.01119804382,0.52821797132,2.76392602921,2,123170,2.5,8,1,0,18,12,1,0,0,0,3,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,1.91176998615,0,0,0,1,0,1,0,1,1
5,-1.34789335728,-0.47398027778,-0.01081660762,0.81944966316,0.42342713475,1.62115108967,4098,123348,2.5,8,1,0,18,12,1,0,0,0,5,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
6,-0.7574930191,-1.19332396984,0.99157702923,0.63370001316,1.20104396343,3.19062209129,12297,123610,2.5,8,1,0,18,12,1,0,0,0,6,0,0.61111110449,2.03127789497,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1
8,-0.58873718977,-0.95380407572,-0.00076196162,1.0840536356,0.95228767395,1.97058653831,0,124118,2.5,8,1,7,18,12,1,0,0,0,5066,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
9,-1.89985764027,-1.92472147942,-0.33167496324,1.40820729733,1.52218043804,3.10960125923,4099,124155,2.5,8,7,4,18,12,1,0,0,0,9,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
10,-0.77700001001,-0.70013701916,0.00047900001,0.73175901175,0.76451599598,1.75619995594,0,124173,2.5,8,1,7,18,12,1,0,0,0,5910,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,0.89164602757,0,0,0,1,0,1,0,1,1
11,-1.43824362755,-0.76881682873,0.00031867981,0.69617366791,0.74952805042,1.4237112999,0,124272,2.5,8,1,4,18,12,1,0,0,0,5068,0,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
12,-0.56031602621,-1.66741096973,0.85712701082,0.60470598936,1.69726204872,4.54122591019,1,124329,2.5,8,1,0,18,12,1,0,0,0,12,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
13,-0.1989800036,-0.37892600894,-0.01441599987,0.39032500982,0.32205298543,1.89609694481,0,124437,2.5,8,1,1,18,12,1,0,0,0,13,1,0.50973123312,2.03126549721,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
14,-0.23080000281,-0.37892699242,-0.01441499963,0.39032000303,0.32205700874,1.88332796097,0,124440,2.5,8,1,1,18,12,1,0,0,0,14,1,0.50973123312,2.03126549721,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
15,-0.19898399711,-0.37892699242,-0.01441499963,0.39032000303,0.32205700874,1.90167200565,0,124442,2.5,8,1,1,18,12,1,0,0,0,15,1,0.50973123312,2.03126549721,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
16,-0.4890410006,-0.398860991,-0.0141479997,0.58023899794,0.31593900919,1.77787196636,0,124553,2.5,8,1,1,18,12,1,0,0,0,16,1,0.55555552244,1.88907682896,1,0,0,1,1,0,0,0,1.15169501305,0,0,0,1,0,1,0,1,1
17,-0.29473999143,-0.58237099648,-0.00705299992,0.51945400238,0.55557197332,2.00862288475,0,124565,2.5,8,1,1,18,12,1,0,0,0,17,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
18,-0.29473999143,-0.68969601393,-0.00705200015,0.61783701181,0.55557197332,2.27554106712,0,124569,2.5,8,1,1,18,12,1,0,0,0,18,1,0.50973123312,2.03126549721,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
19,-0.29340699315,-0.58177798986,-0.00681099994,0.51501297951,0.55491399765,2.01039600372,0,124571,2.5,8,1,1,18,12,1,0,0,0,19,1,0.50973123312,2.03126549721,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
20,-0.29358100891,-0.58182197809,-0.00681099994,0.5151129961,0.55488801003,2.0502550602,0,124572,2.5,8,1,1,18,12,1,0,0,0,20,1,0.50973123312,2.03126549721,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
21,-0.52419602871,-0.47091001272,-0.0025510001,0.42838999629,0.51741600037,2.22750091553,0,124576,2.5,8,1,1,18,12,1,0,0,0,21,1,0.50973123312,2.03126549721,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
22,-0.71770000458,-0.86945897341,-0.000788,0.36803498864,0.74946397543,2.02525806427,0,124578,2.5,8,1,1,18,12,1,0,0,0,22,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,1.16668903828,0,0,0,1,0,1,0,1,1
23,-0.24360999465,-0.53732299805,-0.00152399996,0.50307297707,0.54058098793,2.02428102493,0,124580,2.5,8,1,1,18,12,1,0,0,0,23,1,0.50973123312,2.03126549721,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
24,-1.43900632858,-2.75123333931,0.03088906407,1.05977976322,2.7271361351,4.1291217804,2,124637,2.5,8,1,5,18,12,1,0,0,20,24,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,2.78081345558,0,0,0,1,0,1,0,1,1
25,-1.85265600681,-1.00116384029,-0.02183919773,1.47019696236,1.5802103281,4.13880729675,0,124670,2.5,8,1,6,18,12,1,0,0,0,25,1,0.61111110449,2.03127789497,1,0,0,1,1,0,0,0,1.99583995342,0,0,0,1,0,1,0,1,1
