ID,ItemLevel,Cloth,Leather,Mail,Plate
1,1,12.83871364594,22.04649353027,32.50988006592,48.90251541138
2,2,14.00586986542,24.05072021484,35.46532058716,53.34819793701
3,3,15.17302513123,26.05494689941,38.4207649231,57.79388427734
4,4,16.34018135071,28.05917358398,41.37620925903,62.23956680298
5,5,17.50733757019,30.06340026855,44.33165359497,66.68524932861
6,6,18.67449188232,32.06762695313,47.28709793091,71.13093566895
7,7,19.84164810181,34.0718536377,50.24253845215,75.57661437988
8,8,21.00880432129,36.07608032227,53.19798278809,80.02230072021
9,9,22.17596054077,38.08030700684,56.15342712402,84.46797943115
10,10,23.34311676025,40.08453369141,59.10887145996,88.91366577148
11,11,24.51027107239,42.08876037598,62.0643157959,93.35935211182
12,12,25.67742729187,44.09298706055,65.01976013184,97.80503082275
13,13,26.84458351135,46.09721374512,67.97520446777,102.25071716309
14,14,28.01173973084,48.10144042969,70.93064117432,106.69640350342
15,15,29.17889404297,50.10566711426,73.88608551025,111.14208221436
16,16,30.34605026245,52.10989379883,76.84152984619,115.58776855469
17,17,31.51320648193,54.1141204834,79.79697418213,120.03344726563
18,18,32.68036270142,56.11834716797,82.75241851807,124.47913360596
19,19,33.8475189209,58.12257385254,85.707862854,128.92481994629
20,20,35.01467514038,60.12680053711,88.66330718994,133.37049865723
21,21,35.60448455811,61.13961791992,90.1568145752,135.61708068848
22,22,36.16480636597,62.10179519653,91.57564544678,137.75134277344
23,23,36.69635772705,63.01457214355,92.92163085938,139.77601623535
24,24,37.20013046265,63.87964248657,94.197265625,141.69488525391
25,25,37.67735290527,64.69912719727,95.40567779541,143.51261901856
26,26,38.1294708252,65.47549438477,96.55052185059,145.23472595215
27,27,38.59972381592,66.28301239014,97.74128723145,147.02592468262
28,28,39.08864593506,67.12257385254,98.97931671143,148.88821411133
29,29,39.59678649902,67.99514770508,100.26602172852,150.82371520996
30,30,40.12473297119,68.90173339844,101.60286712647,152.83465576172
31,31,40.67309188843,69.84336853027,102.99141693115,154.92335510254
32,32,41.24250411987,70.82115936279,104.43327331543,157.09223937988
33,33,41.83363723755,71.83624267578,105.9301071167,159.34385681152
34,34,42.44718551636,72.88982391357,107.48372650147,161.68084716797
35,35,43.08388137817,73.98314666748,109.09594726563,164.10601806641
36,36,43.74448776245,75.11753845215,110.76873016357,166.62226867676
37,37,44.42980575562,76.2943572998,112.50406646729,169.23263549805
38,38,45.14067077637,77.51504516602,114.30410766602,171.94030761719
39,39,45.87795639038,78.7811050415,116.171043396,174.74862670898
40,40,46.642578125,80.09410095215,118.10720062256,177.66105651856
41,41,47.43548583984,81.45568084717,120.11499023438,180.68124389648
42,42,48.25769042969,82.86755371094,122.19695281982,183.81300354004
43,43,49.11022949219,84.33152770996,124.35572814941,187.06030273438
