ID,Position_0,Position_1,Position_2,MapID,AreaTableID,Faction,JournalInstanceID
3,-11207.942382812,1679.6579589844,24.05051040649,0,6510,-1,63
5,-11522.913085938,-2317.5869140625,612.95959472656,2241,10833,-1,68
6,-10687.154296875,-1309.2360839844,17.68829345703,2241,10833,-1,69
7,-10218.607421875,-1837.9271240234,24.81167030334,2241,10833,-1,70
8,-11360.984375,73.11631774902,730.72796630859,2241,10833,-1,74
9,1204.5069580078,642.48089599609,347.64376831055,1795,9105,-1,369
10,4048.859375,-665.94793701172,1.27247595787,1464,6723,-1,669
11,-1713.0590820312,6649.048828125,124.86315917969,1220,7334,-1,707
12,0.06597222388,5811.6303710938,4.76689910889,1220,7334,-1,716
13,2454.9721679688,812.42535400391,252.92573547363,1220,7541,-1,721
14,1153.5625,4380.5258789062,9.20243835449,1220,7637,-1,726
15,3436.2690429688,1986.7725830078,21.63528060913,1220,7541,-1,727
16,3122.0278320312,7561.7084960938,32.32332611084,1220,7558,-1,740
17,3826.4582519531,6359.8271484375,186.68576049805,1220,7558,-1,762
18,3716.4643554688,4184.9912109375,891.53601074219,1220,7503,-1,767
19,3617.5207519531,6506.291015625,183.39064025879,1220,7558,-1,768
20,-969.94097900391,4313.9384765625,742.17443847656,1220,7502,-1,777
21,1242.7048339844,4202.4790039062,-66.40068054199,1220,7637,-1,786
22,1017.819519043,3828.6337890625,8.69951534271,1220,8148,-1,800
23,3617.5207519531,6506.291015625,183.39064025879,1220,7558,-1,822
24,-11044.357421875,-1992.6997070312,92.97105407715,0,41,-1,860
25,2357.3247070312,909.27429199219,257.78988647461,1220,7541,-1,861
26,-524.29339599609,2415.3957519531,117.08511352539,1220,7543,-1,875
27,-436.19445800781,2419.1528320312,108.36210632324,1220,7543,-1,900
28,5414.5522460938,10819.247070312,20.11620521545,1669,8701,-1,945
29,-3212.9445800781,9419.3798828125,-173.21246337891,1669,8899,-1,946
30,3617.5207519531,6506.291015625,183.39064025879,1220,7558,-1,959
31,-847.35241699219,2044.3559570312,735.61944580078,1642,8499,-1,968
32,-1606.0538330078,-1229.234375,36.98764419556,1643,8567,-1,1001
33,36.46354293823,-2660.8229980469,28.11839485168,1643,10015,-1,1002
34,796.65802001953,3371.5920410156,234.56396484375,1643,8721,-1,1021
35,1275.6545410156,762.94964599609,-269.123046875,1642,8500,-1,1022
36,-212.04513549805,-1562.2673339844,6.06085443497,1643,8567,-1,1023
37,1149.7882080078,-551.96875,0.98672741652,1643,8567,-1,1023
38,1336.1597900391,624.01043701172,-165.84844970703,1642,8500,-1,1028
39,3233.3957519531,3151.7795410156,139.76934814453,1642,8501,-1,1030
40,1336.1597900391,624.01043701172,-165.84844970703,1642,8500,-1,1031
41,4161.0834960938,-1140.8247070312,164.71769714356,1643,9042,-1,1036
42,-849.30554199219,2552.1796875,732.17779541016,1642,8499,-1,1041
43,-315.01400756836,1115.6500244141,314.90100097656,1642,8499,0,1176
44,914.11499023438,-534.00701904297,9.86515045166,1643,8717,1,1176
45,3413.9011230469,-1429.6997070312,118.95099639893,1643,9042,-1,1177
46,3744.4860839844,-508.83508300781,-893.54229736328,1718,10052,-1,1179
47,1141.0972900391,1466.4166259766,385.91171264648,1795,9105,-1,1180
48,-9844.5400390625,-976.12329101563,150.7843170166,2241,10833,-1,1180
49,-3316.6354980469,-4094.1596679688,6605.7768554688,2222,10534,-1,1182
50,2081.96875,-3118.6076660156,3273.7973632812,2222,11462,-1,1183
51,-6935.8505859375,1789.1180419922,5552.4487304688,2222,11510,-1,1184
52,-2196.8332519531,4987.9204101562,4079.8605957031,2222,10413,-1,1185
53,-2130.6752929688,-5327.3403320312,6549.6108398438,2222,10534,-1,1186
54,2605.5087890625,-2709.59375,3299.7175292969,2222,11462,-1,1187
55,-7544.2709960938,-583.31427001953,5454.0190429688,2222,11510,-1,1188
56,-1487.15625,6543.4174804688,4186.3671875,2222,10413,-1,1189
57,-1901,6791.9897460938,4302.6796875,2222,10413,-1,1190
58,4849.5961914062,5779.4130859375,4864.4736328125,2222,11400,-1,1193
59,4843.9633789062,5819.78125,4867.4399414062,2456,13587,-1,1193
61,-227.99800109863,1576.6999511719,80.88300323486,0,236,-1,64
62,-5582.1899414062,5396.8999023438,-1797.1700439453,0,5047,-1,65
63,-7569.2900390625,-1331.1999511719,250,0,252,-1,66
64,1031.3299560547,612.83001708984,152.16400146484,646,5303,-1,67
65,-11522.099609375,-2317.4299316406,616.5,1,5034,-1,68
66,-10688,-1309.0999755859,17.66160011292,1,5599,-1,69
67,-10221.799804688,-1837.6600341797,21.79549980164,1,5732,-1,70
68,-4042.3898925781,-3444.4499511719,295,0,1037,-1,71
69,-4899.669921875,-4222.3598632812,827.76397705078,0,5473,-1,72
70,-7542.91015625,-1184.9300537109,482,0,254,-1,73
71,-11361.200195312,73.02950286865,723.90100097656,1,5034,-1,74
72,-1274,1050.0899658203,110,732,5399,-1,75
73,-11916.200195312,-1218.4699707031,100,0,19,-1,76
74,6851.8798828125,-8008.7299804688,192.31799316406,530,5780,-1,77
75,3980.6298828125,-2924.8100585938,1017,1,5039,-1,78
76,-8281.1298828125,-4456.6401367188,-190,1,440,-1,184
77,-8595.2001953125,-3993.1599121094,-198,1,2300,-1,185
78,-8287.830078125,-4593.4599609375,-209,1,2300,-1,186
79,-8262.01953125,-4512.1201171875,-200,1,2300,-1,187
80,1818.4000244141,-4427.259765625,-10.44779968262,1,1637,-1,226
81,4253.1098632812,756.96697998047,-19.5,1,2077,-1,227
82,-7176.6298828125,-937.6669921875,170.20599365234,0,51,-1,228
83,-7527.8974609375,-1336.8454589844,290.65631103516,0,252,-1,229
84,-3759.6899414062,934.92901611328,161.02499389648,1,3217,-1,230
85,-3519.9499511719,1089.9300537109,161.06500244141,1,3217,-1,230
86,-3822.6298828125,1249.9200439453,160.27000427246,1,3217,-1,230
87,-5154.9799804688,916.54901123047,287.39498901367,0,1,-1,231
