ID,DamageReplaceStatF,DamageSecondaryF,DamageReplaceStat,DamageSecondary,EpicF_0,EpicF_1,EpicF_2,EpicF_3,EpicF_4,SuperiorF_0,SuperiorF_1,SuperiorF_2,SuperiorF_3,SuperiorF_4,GoodF_0,GoodF_1,GoodF_2,GoodF_3,GoodF_4,Epic_0,Epic_1,Epic_2,Epic_3,Epic_4,Superior_0,Superior_1,Superior_2,Superior_3,Superior_4,Good_0,Good_1,Good_2,Good_3,Good_4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.20608560741,0.20608560741,0,0,1.97842180729,1.48381626606,1.11286222935,0.98921090364,0.98921090364,1.97842180729,1.48381626606,1.11286222935,0.98921090364,0.98921090364,1.97842180729,1.48381626606,1.11286222935,0.98921090364,0.98921090364,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
5,0.25065401196,0.25065401196,0,0,2.36330938339,1.77248203754,1.32936143875,1.1816546917,1.1816546917,2.36330938339,1.77248203754,1.32936143875,1.1816546917,1.1816546917,2.36330938339,1.77248203754,1.32936143875,1.1816546917,1.1816546917,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1
6,0.29985612631,0.29985612631,0,0,2.77761483192,2.08321118355,1.56240832806,1.38880741596,1.38880741596,2.77761483192,2.08321118355,1.56240832806,1.38880741596,1.38880741596,2.77761483192,2.08321118355,1.56240832806,1.38880741596,1.38880741596,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1
7,0.35382458568,0.35382458568,0,0,3.22102379799,2.4157679081,1.81182587147,1.61051189899,1.61051189899,3.22102379799,2.4157679081,1.81182587147,1.61051189899,1.61051189899,3.22102379799,2.4157679081,1.81182587147,1.61051189899,1.61051189899,3,2,1,1,1,3,2,1,1,1,3,2,1,1,1
8,0.41269439459,0.41269439459,0,0,3.69326496124,2.76994872093,2.07746148109,1.84663248062,1.84663248062,3.69326496124,2.76994872093,2.07746148109,1.84663248062,1.84663248062,3.69326496124,2.76994872093,2.07746148109,1.84663248062,1.84663248062,3,2,2,1,1,3,2,2,1,1,3,2,2,1,1
9,0.47660252452,0.47660252452,0,0,4.19410228729,3.14557671547,2.35918235779,2.09705114365,2.09705114365,4.19410228729,3.14557671547,2.35918235779,2.09705114365,2.09705114365,4.19410228729,3.14557671547,2.35918235779,2.09705114365,2.09705114365,4,3,2,2,2,4,3,2,2,2,4,3,2,2,2
10,0.54891401529,0.54891401529,0,0,4.75125551224,3.56344175339,2.67258143425,2.37562775612,2.37562775612,4.75125551224,3.56344175339,2.67258143425,2.37562775612,2.37562775612,4.75125551224,3.56344175339,2.67258143425,2.37562775612,2.37562775612,4,3,2,2,2,4,3,2,2,2,4,3,2,2,2
11,0.65868258476,0.65868258476,0,0,5.34231042862,4.00673294067,3.00504970551,2.67115521431,2.67115521431,5.34231042862,4.00673294067,3.00504970551,2.67115521431,2.67115521431,5.34231042862,4.00673294067,3.00504970551,2.67115521431,2.67115521431,5,4,3,2,2,5,4,3,2,2,5,4,3,2,2
12,0.78320223093,0.78320223093,0,0,5.96725511551,4.47544145584,3.35658097267,2.98362755775,2.98362755775,5.96725511551,4.47544145584,3.35658097267,2.98362755775,2.98362755775,5.96725511551,4.47544145584,3.35658097267,2.98362755775,2.98362755775,5,4,3,2,2,5,4,3,2,2,5,4,3,2,2
13,0.92363548279,0.92363548279,0,0,6.626080513,4.96956062317,3.72717046738,3.3130402565,3.3130402565,6.626080513,4.96956062317,3.72717046738,3.3130402565,3.3130402565,6.626080513,4.96956062317,3.72717046738,3.3130402565,3.3130402565,6,4,3,3,3,6,4,3,3,3,6,4,3,3,3
