ID,ItemLevel,Quality_0,Quality_1,Quality_2,Quality_3,Quality_4,Quality_5,Quality_6
1,1,0.24218526483,0.38951462507,0.40364211798,0.40364211798,0.40364211798,0.40364211798,0.40364211798
2,2,0.28254947066,0.45443373919,0.47091579437,0.47091579437,0.47091579437,0.47091579437,0.47091579437
3,3,0.3229136765,0.5193528533,0.53818947077,0.53818947077,0.53818947077,0.53818947077,0.53818947077
4,4,0.36327791214,0.58427196741,0.60546314716,0.60546314716,0.60546314716,0.60546314716,0.60546314716
5,5,0.40364211798,0.64919108152,0.67273682356,0.67273682356,0.67273682356,0.67273682356,0.67273682356
6,6,0.47440353036,0.76299899817,0.79067254066,0.79067254066,0.79067254066,0.79067254066,0.79067254066
7,7,0.5501357317,0.8848015666,0.91689282656,0.91689282656,0.91689282656,0.91689282656,0.91689282656
8,8,0.63079231977,1.01452422142,1.05132043362,1.05132043362,1.05132043362,1.05132043362,1.05132043362
9,9,0.71633291245,1.15210211277,1.19388818741,1.19388818741,1.19388818741,1.19388818741,1.19388818741
10,10,0.81149208546,1.30514979362,1.35248684883,1.35248684883,1.35248684883,1.35248684883,1.35248684883
11,11,0.91244149208,1.46751010418,1.52073585987,1.52073585987,1.52073585987,1.52073585987,1.52073585987
12,12,1.01917910576,1.63917970657,1.69863188267,1.69863188267,1.69863188267,1.69863188267,1.69863188267
13,13,1.13170337677,1.82015633583,1.88617229462,1.88617229462,1.88617229462,1.88617229462,1.88617229462
14,14,1.25001311302,2.01043772697,2.08335518837,2.08335518837,2.08335518837,2.08335518837,2.08335518837
15,15,1.374106884,2.21002197266,2.29017829895,2.29017829895,2.29017829895,2.29017829895,2.29017829895
16,16,1.50075793266,2.41371917725,2.50126338005,2.50126338005,2.50126338005,2.50126338005,2.50126338005
17,17,1.6293284893,2.62050318718,2.71554756165,2.71554756165,2.71554756165,2.71554756165,2.71554756165
18,18,1.75919520855,2.82937216759,2.93199205399,2.93199205399,2.93199205399,2.93199205399,2.93199205399
19,19,1.88975679874,3.03935885429,3.14959478378,3.14959478378,3.14959478378,3.14959478378,3.14959478378
20,20,2.02044081688,3.24954223633,3.36740136147,3.36740136147,3.36740136147,3.36740136147,3.36740136147
21,21,2.06798887253,3.32601547241,3.44664812088,3.44664812088,3.44664812088,3.44664812088,3.44664812088
22,22,2.11116671562,3.39545965195,3.5186111927,3.5186111927,3.5186111927,3.5186111927,3.5186111927
23,23,2.16078400612,3.4752612114,3.60130691528,3.60130691528,3.60130691528,3.60130691528,3.60130691528
24,24,2.20652770996,3.54883217812,3.67754626274,3.67754626274,3.67754626274,3.67754626274,3.67754626274
25,25,2.24845337868,3.61626243591,3.74742221832,3.74742221832,3.74742221832,3.74742221832,3.74742221832
26,26,2.28664255142,3.67768335342,3.81107091904,3.81107091904,3.81107091904,3.81107091904,3.81107091904
27,27,2.32619047165,3.74128961563,3.87698411942,3.87698411942,3.87698411942,3.87698411942,3.87698411942
28,28,2.36714529991,3.80715870857,3.94524216652,3.94524216652,3.94524216652,3.94524216652,3.94524216652
29,29,2.40955734253,3.87537121773,4.01592874527,4.01592874527,4.01592874527,4.01592874527,4.01592874527
30,30,2.45347881317,3.94601202011,4.08913135529,4.08913135529,4.08913135529,4.08913135529,4.08913135529
31,31,2.49896526337,4.01916885376,4.16494178772,4.16494178772,4.16494178772,4.16494178772,4.16494178772
32,32,2.54607343674,4.09493494034,4.24345588684,4.24345588684,4.24345588684,4.24345588684,4.24345588684
33,33,2.5948638916,4.17340612411,4.32477283478,4.32477283478,4.32477283478,4.32477283478,4.32477283478
34,34,2.62044215202,4.21454429626,4.36740350723,4.36740350723,4.36740350723,4.36740350723,4.36740350723
35,35,2.65974736214,4.27776002884,4.43291187286,4.43291187286,4.43291187286,4.43291187286,4.43291187286
