ID,NumStrips,MaxSampleTimeDelta,AngleThreshold,MinDistancePerSlice,Flags
1,1,0.20000000298,0.5,0.10000000149,0
2,1,0.05000000075,0.89999997616,0.10000000149,0
5,4,0.05000000075,0.89999997616,0.10000000149,0
6,1,1,0.60000002384,15,0
9,1,0.5,0.5,2,0
14,1,0.05000000075,0.99000000954,0.10000000149,0
15,1,0.05000000075,1.5,0.20000000298,0
16,1,1,0.89999997616,1,0
17,1,0.03299999982,0.99000000954,0.05000000075,0
119,2,0.20000000298,0.5,0.10000000149,0
120,1,0.10000000149,0.5,0.10000000149,0
121,1,0.03999999911,0.5,0.05000000075,0
123,0,0.20000000298,0.5,0.10000000149,0
7,1,0.20000000298,0.5,0.10000000149,0
8,1,0.20000000298,0.5,0.10000000149,0
12,1,0.20000000298,0.5,0.10000000149,0
13,1,0.20000000298,0.5,0.10000000149,0
11,1,0.05000000075,0.89999997616,0.10000000149,0
10,1,0.5,0.5,2,0
18,1,0.03299999982,0.99000000954,0.05000000075,0
