Name,Position_0,Position_1,Position_2,Direction_0,Direction_1,Direction_2,ID,SoundEntriesID,WorldStateExpressionID,EmitterType,PhaseID,PhaseGroupID,PhaseUseFlags,Flags,MapID
Waterfall_TurbulenceLrgDir,1602,-3600,40,-0.00431399979,0.99887102842,0.04731100053,779,14924,0,0,0,0,0,0,571
Waterfall_RegularLarge,1602.4499511719,-3612.6298828125,81.92009735107,0,0,0,780,14895,0,0,0,0,0,0,571
Waterfall_RegularLarge,1583.4844970703,-3922.9174804688,114.70230102539,0,0,0,781,14895,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgDir,1591.4200439453,-3912.0900878906,88.70320129395,0.49540498853,0.76652401686,0.40867599845,782,14924,0,0,0,0,0,0,571
Waterfall_TurbulenceMedDir,1613.6500244141,-3958.2199707031,140.68600463867,-0.91022598743,0.41408699751,0.00445300015,783,14915,0,0,0,0,0,0,571
Waterfall_RegularMed,1639.7700195312,-3957.1899414062,170.9640045166,0,0,0,784,14899,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgNarrowDir,1879.7399902344,-3972.0900878906,180.94999694824,-0.94147801399,0.03660300002,-0.3350790143,785,14924,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgNarrowDir,1980.1199951172,-3977.6599121094,200.48300170898,-0.91707801819,0.17736600339,-0.35708299279,786,14924,0,0,0,0,0,0,571
Waterfall_RegularMed,1901.7900390625,-3974.4399414062,187.45399475098,0,0,0,787,14899,0,0,0,0,0,0,571
Waterfall_RegularMed,1998.4399414062,-3982.1899414062,211.54200744629,0,0,0,788,14899,0,0,0,0,0,0,571
Waterfall_TurbulenceMedDir,2065.8999023438,-3302.5200195312,84.77909851074,0.11036799848,0.97333699465,-0.20107899606,789,14915,0,0,0,0,0,0,571
Waterfall_RegularSmall,2043.4100341797,-3325.1899414062,98.56719970703,0,0,0,790,14900,0,0,0,0,0,0,571
Waterfall_RegularSmall,2043.5817871094,-3282.4909667969,96.29170227051,0,0,0,791,14900,0,0,0,0,0,0,571
Waterfall_RegularSmall,2046.3077392578,-3263.7099609375,54.59487915039,0,0,0,792,14900,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgDir,786.3330078125,-4720.8500976562,144.57899475098,-0.02799399942,-0.97905099392,-0.20168399811,793,14924,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgDir,779.07397460938,-4766.33984375,71.73729705811,0.22627000511,-0.97371399403,0.02615500055,794,14924,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgDir,750.32000732422,-4814.0600585938,16.25519943237,0.23385100067,-0.91705197096,-0.32300499082,795,14924,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgDir,806.24298095703,-4783.3798828125,17.07480049133,-0.01389599964,-0.00527099986,-0.99989002943,796,14924,0,0,0,0,0,0,571
Waterfall_RegularLarge,777.17401123047,-4678.8500976562,188.67599487305,0,0,0,797,14895,0,0,0,0,0,0,571
Waterfall_TurbulenceHugeNarrowDir,1267.7900390625,-5083.91015625,36.36420059204,-0.86085802317,-0.50698697567,0.04347800091,799,14950,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgDir,1578.4300537109,-4299.2700195312,142.44700622559,-0.9599930048,0.25894901156,0.10657799989,800,14924,0,0,0,0,0,0,571
Waterfall_RegularMed,1608,-4300,179.88900756836,0,0,0,802,14899,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgDir,1791.0400390625,-5030.3500976562,121.67199707031,-0.96049898863,0.10786800086,-0.25652301311,803,14924,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgDir,1736.7299804688,-5076.8100585938,120.18099975586,-0.25104600191,0.9635990262,-0.09193699807,804,14924,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgDir,1782.0100097656,-4731.669921875,141.88999938965,-0.72727000713,-0.61269497871,-0.30932399631,805,14924,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgDir,1735.3000488281,-4647.3999023438,139.64700317383,-0.59302502871,-0.80325698853,-0.05567099899,806,14924,0,0,0,0,0,0,571
Waterfall_TurbulenceLrgDir,1696.8399658203,-4612.7700195312,139.15699768066,-0.67479199171,-0.72968101501,0.11054400355,807,14924,0,0,0,0,0,0,571
Waterfall_RegularLarge,1712.0092773438,-4603.8715820312,176.34593200684,0,0,0,808,14895,0,0,0,0,0,0,571
Waterfall_RegularLarge,1743.4176025391,-4638.5317382812,175.62783813477,0,0,0,809,14895,0,0,0,0,0,0,571
Waterfall_RegularLarge,1809.7432861328,-4720.7866210938,186.01043701172,0,0,0,810,14895,0,0,0,0,0,0,571
Waterfall_RegularLarge,1800.7296142578,-5033.1899414062,169.78593444824,0,0,0,811,14895,0,0,0,0,0,0,571
Waterfall_RegularLarge,1739.1687011719,-5087.404296875,169.46403503418,0,0,0,812,14895,0,0,0,0,0,0,571
