Cost,Name,Field_12_0_0_63534_004_0,Field_12_0_0_63534_004_1,Field_12_0_0_63534_004_2,Field_12_0_0_63534_005_0,Field_12_0_0_63534_005_1,Field_12_0_0_63534_005_2,CornerstonePosition_0,CornerstonePosition_1,CornerstonePosition_2,CornerstoneRotation_0,CornerstoneRotation_1,CornerstoneRotation_2,TeleportPosition_0,TeleportPosition_1,TeleportPosition_2,ID,NeighborhoodMapID,Field_12_0_0_63534_010,CornerstoneGameObjectID,PlotIndex,WorldState,PlotGameObjectID,Field_12_0_0_65028_014,Field_12_0_0_64741_016
10000000,,1289.8299560547,1126.3199462891,57.05989837646,0,0,4.04904174805,1256.1805419922,1091.0451660156,55.76041793823,0,0,1.64061152935,1256.3897705078,1088.0524902344,55.65670013428,359,2,0,475055,0,29778,581892,1.57079601288,582099
10000000,,1239.09375,-199.75,74.06399536133,0,0,0,772.87152099609,-477.52432250977,11.70486164093,0,0,4.14515686035,774.4833984375,-474.99411010742,11.70549964905,360,2,0,475085,1,29725,582077,-1.57079648972,577376
10000000,,1236.40625,-56.703125,76.39401245117,0,0,0,1925.2100830078,948.89929199219,101.64585113525,0,0,1.91113889217,1926.2115478516,946.07141113281,101.64219665527,361,2,0,475054,2,29736,581890,1.57079601288,577377
10000000,,1320.1528320312,-73.64583587646,74.20645141602,0,0,0,791.39581298828,-208.53125,15.60069465637,0,0,3.48193120956,794.22381591797,-207.52980041504,15.61719989777,362,2,0,475094,3,29745,582075,1.57079601288,577378
10000000,,1499.4045410156,59.08159637451,77.13729858398,0,0,0,1607.9132080078,-242.921875,76.28298950195,0,0,3.38593888283,1610.8240966797,-242.19610595703,76.28379821777,363,2,0,475067,4,29755,582042,-1.57079684734,577379
10000000,,1675.2916259766,-190.51388549805,78.3776473999,0,0,0,733.85418701172,-434.17361450195,2.39409732819,0,0,2.46964120865,736.20202636719,-436.04119873047,3.14790010452,364,2,0,475106,5,29763,582074,4.71238946915,577380
10000000,,1543.5867919922,-33.640625,78.4231338501,0,0,0,649.97570800781,39.93402862549,3.91840291023,0,0,3.08050632477,652.97009277344,39.75090026855,4.17980003357,365,2,0,475076,6,29765,582072,-1.5707962513,577381
10000000,,1149.9860839844,-109.125,73.97789764404,0,0,0,574.29168701172,-316.39236450195,7.14350891113,0,0,2.18166208267,576.01239013672,-318.84979248047,6.82270002365,366,2,0,569611,7,29766,582064,0,577382
10000000,,1621.5500488281,-266.99301147461,74.52040100098,0,0,0,1343.7760009766,-635.86114501953,21.16666603088,0,0,5.34943389893,1341.9915771484,-633.44958496094,21.28389930725,367,2,0,475072,8,29767,582048,1.57079601288,577383
10000000,,798.484375,-264.90451049805,33.83326721191,0,0,0,1668.40625,1053.1857910156,48.46701431274,0,0,1.07337832451,1666.9747314453,1050.5493164062,48.59170150757,368,2,0,475057,9,29768,581895,-1.57079637051,577384
