ID,VendorMapID,VendorPosition_0,VendorPosition_1,VendorPosition_2,VendorItemID,CreatureID,AreaTableID,WMOGroupID,CollectableSourceInfoID
1,560,2633.8205566406,672.74499511719,54.45314788818,53940,18672,2367,0,68
2,560,2633.8205566406,672.74499511719,54.45314788818,53938,18672,2367,0,69
3,1,1587.6899414062,-4288.740234375,21.51339912415,202881,46512,1637,0,69
4,0,-8550.984375,592.61804199219,104.59925842285,202896,53641,1519,0,69
5,1136,1591.6302490234,-4275.3872070312,21.46418190002,202881,46512,6738,0,69
6,1,1587.6899414062,-4288.740234375,21.51339912415,202881,46512,1637,0,69
7,1,1582.5485839844,-4364.09375,20.83302879334,202881,46512,1637,0,69
8,1,1587.6892089844,-4288.7397460938,21.51339912415,202881,46512,1637,0,69
9,1,1592.0764160156,-4284.3022460938,21.5544719696,202881,46512,1637,0,69
10,0,-8550.984375,592.61804199219,104.59925842285,202896,53641,1519,0,69
11,560,2633.8205566406,672.74499511719,54.45314788818,53937,18672,2367,0,70
12,1,1587.6899414062,-4288.740234375,21.51339912415,202883,46512,1637,0,70
13,1136,1591.6302490234,-4275.3872070312,21.46418190002,202883,46512,6738,0,70
14,1,1587.6899414062,-4288.740234375,21.51339912415,202883,46512,1637,0,70
15,1,1582.5485839844,-4364.09375,20.83302879334,202883,46512,1637,0,70
16,1,1587.6892089844,-4288.7397460938,21.51339912415,202883,46512,1637,0,70
17,1,1592.0764160156,-4284.3022460938,21.5544719696,202883,46512,1637,0,70
18,0,-8550.984375,592.61804199219,104.59925842285,202901,53641,1519,0,70
19,0,-8550.984375,592.61804199219,104.59925842285,202901,53641,1519,0,70
20,560,2633.8205566406,672.74499511719,54.45314788818,53945,18672,2367,0,71
21,0,-8550.984375,592.61804199219,104.59925842285,202906,53641,1519,0,71
22,0,-8550.984375,592.61804199219,104.59925842285,202906,53641,1519,0,71
23,560,2633.8205566406,672.74499511719,54.45314788818,53947,18672,2367,0,72
24,0,-8550.984375,592.61804199219,104.59925842285,202904,53641,1519,0,72
25,0,-8550.984375,592.61804199219,104.59925842285,202904,53641,1519,0,72
26,560,2633.8205566406,672.74499511719,54.45314788818,53946,18672,2367,0,73
27,0,-8777.4072265625,646.16198730469,97.22312164307,202838,1295,1519,0,74
28,0,-8777.4072265625,646.16198730469,97.22312164307,202838,1295,1519,0,74
29,0,-8777.4072265625,646.16198730469,97.22312164307,202837,1295,1519,0,75
30,0,-8777.4072265625,646.16198730469,97.22312164307,202837,1295,1519,0,75
31,560,2633.8205566406,672.74499511719,54.45314788818,53941,18672,2367,0,76
32,0,-8781.095703125,645.28643798828,97.22312164307,202800,1291,1519,0,76
33,0,-8781.095703125,645.28643798828,97.22312164307,202800,1291,1519,0,76
34,1,1814.7800292969,-4563.1000976562,23.00009918213,202820,3317,1637,0,76
35,1,1814.7800292969,-4563.1000976562,23.00009918213,202820,3317,1637,0,76
36,1,1814.7800292969,-4563.1000976562,23.00009918213,202820,3317,1637,0,76
37,1,1811.6353759766,-4570.1787109375,23.00011825562,202820,3317,1637,0,76
38,560,2633.8205566406,672.74499511719,54.45314788818,53942,18672,2367,0,77
39,0,-8781.095703125,645.28643798828,97.22312164307,202801,1291,1519,0,77
40,0,-8781.095703125,645.28643798828,97.22312164307,202801,1291,1519,0,77
41,1,1814.7800292969,-4563.1000976562,23.00009918213,202821,3317,1637,0,77
42,1,1814.7800292969,-4563.1000976562,23.00009918213,202821,3317,1637,0,77
43,1,1814.7800292969,-4563.1000976562,23.00009918213,202821,3317,1637,0,77
44,1,1811.6353759766,-4570.1787109375,23.00011825562,202821,3317,1637,0,77
45,560,2633.8205566406,672.74499511719,54.45314788818,53944,18672,2367,0,78
46,560,2633.8205566406,672.74499511719,54.45314788818,53929,18672,2367,0,79
47,0,-8781.095703125,645.28643798828,97.22312164307,202805,1291,1519,0,79
48,0,-8781.095703125,645.28643798828,97.22312164307,202805,1291,1519,0,79
49,1,1814.7800292969,-4563.1000976562,23.00009918213,202828,3317,1637,0,79
50,1,1814.7800292969,-4563.1000976562,23.00009918213,202828,3317,1637,0,79
51,1,1814.7800292969,-4563.1000976562,23.00009918213,202828,3317,1637,0,79
52,1,1811.6353759766,-4570.1787109375,23.00011825562,202828,3317,1637,0,79
53,560,2633.8205566406,672.74499511719,54.45314788818,53932,18672,2367,0,80
54,0,-8781.095703125,645.28643798828,97.22312164307,202803,1291,1519,0,80
55,0,-8781.095703125,645.28643798828,97.22312164307,202803,1291,1519,0,80
56,560,2633.8205566406,672.74499511719,54.45314788818,53934,18672,2367,0,81
57,0,-8781.095703125,645.28643798828,97.22312164307,202806,1291,1519,0,81
58,0,-8781.095703125,645.28643798828,97.22312164307,202806,1291,1519,0,81
59,1,1811.6353759766,-4570.1787109375,23.00011825562,202833,3317,1637,0,82
60,560,2633.8205566406,672.74499511719,54.45314788818,53936,18672,2367,0,82
61,0,-8781.095703125,645.28643798828,97.22312164307,202809,1291,1519,0,82
62,0,-8781.095703125,645.28643798828,97.22312164307,202809,1291,1519,0,82
63,1,1814.7800292969,-4563.1000976562,23.00009918213,202833,3317,1637,0,82
64,1,1814.7800292969,-4563.1000976562,23.00009918213,202833,3317,1637,0,82
65,1,1814.7800292969,-4563.1000976562,23.00009918213,202833,3317,1637,0,82
66,0,1634.8739013672,260.82757568359,-43.10300064087,51569,4558,85,0,83
67,0,1865.5399169922,1568.8004150391,94.31359100342,51569,2113,85,0,83
68,1,-590.34552001953,-4227.3193359375,38.38445281982,51569,3160,14,0,83
69,1,-2918.75,-219.65600585938,60.9907989502,51569,3074,215,0,83
70,1,-1268.3021240234,-5572.3891601562,20.85474777222,51569,39033,14,0,83
73,1931,1865.5399169922,1568.8004150391,94.31359100342,51569,2113,85,0,83
74,2532,1865.5399169922,1568.8004150391,94.31359100342,51569,2113,13983,0,83
75,2532,1865.5399169922,1568.8004150391,94.31359100342,51569,2113,13983,0,83
76,1,1839.9791259766,-4552.5102539062,24.55072021484,202842,3321,1637,0,84
77,1,1839.9791259766,-4552.5102539062,24.55072021484,202842,3321,1637,0,84
78,1,1839.9791259766,-4552.5102539062,24.55072021484,202842,3321,1637,0,84
79,1,1840.2014160156,-4552.1352539062,24.54076576233,202842,3321,1637,0,84
80,1,1839.9791259766,-4552.5102539062,24.55072021484,202843,3321,1637,0,85
81,1,1839.9791259766,-4552.5102539062,24.55072021484,202843,3321,1637,0,85
82,1,1839.9791259766,-4552.5102539062,24.55072021484,202843,3321,1637,0,85
