OffsetPos_0,OffsetPos_1,OffsetPos_2,OffsetRot_0,OffsetRot_1,OffsetRot_2,ID,ExteriorComponentID
6.49770021439,0,1.58930003643,0,0,0,28,590
5.24959993362,0,1.66250002384,0,0,0,29,596
5.94339990616,0,1.66260004044,0,0,0,30,597
18.87249946594,0,1.42709994316,0,0,0,31,618
19.99990081787,0,1.42700004578,0,0,0,32,619
21.33340072632,0,1.42700004578,0,0,0,33,620
0.49889999628,0.18469999731,1.14079999924,0,0,0,54,975
0.52660000324,0.45440000296,2.37380003929,0,0,0,55,976
-0.33919999003,0,2.07820010185,0,0,0,56,977
-1.25,0,1.97790002823,0,0,0,66,1380
-1.25,0,1.97790002823,0,0,0,67,1419
-1.25,0,1.97790002823,0,0,0,68,1425
-1.25,0,1.97790002823,0,0,0,281,1381
-1.25,0,1.97790002823,0,0,0,282,1382
-1.25,0,1.97790002823,0,0,0,283,1383
-1.25,0,1.97790002823,0,0,0,284,1384
-1.25,0,1.97790002823,0,0,0,285,1385
-1.25,0,1.97790002823,0,0,0,287,1420
-1.25,0,1.97790002823,0,0,0,288,1421
-1.25,0,1.97790002823,0,0,0,289,1422
-1.25,0,1.97790002823,0,0,0,290,1423
-1.25,0,1.97790002823,0,0,0,291,1424
-1.25,0,1.97790002823,0,0,0,293,1426
-1.25,0,1.97790002823,0,0,0,294,1427
-1.25,0,1.97790002823,0,0,0,295,1428
-1.25,0,1.97790002823,0,0,0,296,1429
-1.25,0,1.97790002823,0,0,0,297,1430
-1.25,0,1.97790002823,0,0,0,298,1431
-1.25,0,1.97790002823,0,0,0,299,1432
-1.25,0,1.97790002823,0,0,0,300,1433
-1.25,0,1.97790002823,0,0,0,301,1434
-1.25,0,1.97790002823,0,0,0,302,1435
5.94339990616,0,1.66260004044,0,0,0,420,5532
5.94339990616,0,1.66260004044,0,0,0,421,5533
5.94339990616,0,1.66260004044,0,0,0,422,5534
5.94339990616,0,1.66260004044,0,0,0,423,5535
5.94339990616,0,1.66260004044,0,0,0,424,5536
6.49770021439,0,1.58930003643,0,0,0,426,5538
6.49770021439,0,1.58930003643,0,0,0,427,5539
6.49770021439,0,1.58930003643,0,0,0,428,5540
6.49770021439,0,1.58930003643,0,0,0,429,5541
6.49770021439,0,1.58930003643,0,0,0,430,5542
5.24959993362,0,1.66250002384,0,0,0,432,5549
5.24959993362,0,1.66250002384,0,0,0,433,5550
5.24959993362,0,1.66250002384,0,0,0,434,5551
5.24959993362,0,1.66250002384,0,0,0,435,5552
5.24959993362,0,1.66250002384,0,0,0,436,5553
21.33340072632,0,1.42700004578,0,0,0,451,5831
21.33340072632,0,1.42700004578,0,0,0,452,5832
21.33340072632,0,1.42700004578,0,0,0,453,5833
21.33340072632,0,1.42700004578,0,0,0,454,5834
21.33340072632,0,1.42700004578,0,0,0,455,5835
19.99990081787,0,1.42700004578,0,0,0,457,5837
19.99990081787,0,1.42700004578,0,0,0,458,5838
19.99990081787,0,1.42700004578,0,0,0,459,5839
19.99990081787,0,1.42700004578,0,0,0,460,5840
19.99990081787,0,1.42700004578,0,0,0,461,5841
-0.33919999003,0,2.07820010185,0,0,0,570,6101
-0.33919999003,0,2.07820010185,0,0,0,571,6102
-0.33919999003,0,2.07820010185,0,0,0,572,6103
-0.33919999003,0,2.07820010185,0,0,0,573,6104
-0.33919999003,0,2.07820010185,0,0,0,574,6105
0.52660000324,0.45440000296,2.37380003929,0,0,0,575,6107
0.52660000324,0.45440000296,2.37380003929,0,0,0,576,6108
0.52660000324,0.45440000296,2.37380003929,0,0,0,577,6109
0.52660000324,0.45440000296,2.37380003929,0,0,0,578,6110
0.52660000324,0.45440000296,2.37380003929,0,0,0,579,6111
0.49889999628,0.18469999731,1.14079999924,0,0,0,580,6113
0.49889999628,0.18469999731,1.14079999924,0,0,0,581,6114
0.49889999628,0.18469999731,1.14079999924,0,0,0,582,6115
0.49889999628,0.18469999731,1.14079999924,0,0,0,583,6116
0.49889999628,0.18469999731,1.14079999924,0,0,0,584,6117
14.13389968872,0.57580000162,-0.02030000091,0,0,0,618,6944
