Field_11_2_7_64044_000_0,Field_11_2_7_64044_000_1,Field_11_2_7_64044_000_2,ID,HouseExteriorWmoDataID
6.26970005035,-3.51799988747,3.81319999695,1455,9
6.26970005035,3.50329995155,3.81319999695,1456,9
0.05570000038,7.8533000946,3.81319999695,1457,9
-6.21829986572,3.50329995155,3.81319999695,1458,9
-6.21829986572,-3.51799988747,3.81319999695,1459,9
0.0410999991,-7.93160009384,3.81319999695,1460,9
6.20219993591,-3.51799988747,3.81319999695,1467,9
6.20219993591,3.50329995155,3.81319999695,1468,9
0.05570000038,7.75019979477,3.81319999695,1469,9
-6.22889995575,3.50329995155,3.81319999695,1470,9
-6.22889995575,-3.51799988747,3.81319999695,1471,9
0.0410999991,-7.88129997253,3.81319999695,1472,9
13.40579986572,-3.92709994316,3.80749988556,1494,9
3.04049992561,6.33510017395,3.80749988556,1495,9
7.30259990692,1.6290999651,3.80749988556,1496,9
-3.97140002251,13.06680011749,3.80749988556,1497,9
-11.00619983673,6.00559997559,3.80749988556,1498,9
-11.00619983673,-6.06029987335,3.80749988556,1499,9
-3.95840001106,-12.95580005646,3.80749988556,1500,9
7.23140001297,-9.44559955597,3.80749988556,1501,9
13.32240009308,-3.92709994316,3.80749988556,1509,9
2.99569988251,6.14470005035,3.80749988556,1510,9
7.30259990692,1.59640002251,3.80749988556,1511,9
-3.95830011368,12.99359989166,3.80749988556,1512,9
-11.01669979095,6.00540018082,3.80749988556,1513,9
-11.01669979095,-6.06050014496,3.80749988556,1514,9
-3.95840001106,-13.0826997757,3.80749988556,1515,9
7.23140001297,-9.40740013123,3.80749988556,1516,9
19.19289970398,-11.9140996933,4.23610019684,1548,9
9.86750030518,8.853099823,4.23610019684,1549,9
2.67170000076,18.04800033569,4.23610019684,1550,9
-5.28429985046,22.98349952698,4.23610019684,1551,9
-13.15950012207,15.53750038147,4.23610019684,1552,9
-13.15950012207,2.34139990807,4.23610019684,1553,9
-14.40960025787,-11.87759971619,4.23610019684,1554,9
-14.62150001526,-11.87759971619,10.293800354,1555,9
-7.23999977112,-20.78800010681,10.4156999588,1556,9
4.9607000351,-20.78800010681,10.293800354,1557,9
-7.23999977112,-20.7220993042,4.23610019684,1558,9
4.96059989929,-20.7220993042,4.23610019684,1559,9
