ID,VirtualSeatIndex,XPos,YPos,VehicleUIIndicatorID
221,1,0.50400000811,0.77799999714,221
222,2,0.6930000186,0.29300001264,221
223,1,0.5,0.80199998617,222
224,2,0.70499998331,0.34700000286,222
225,3,0.30700001121,0.34499999881,222
226,1,0.50099998713,0.1400000006,223
227,2,0.69800001383,0.7990000248,223
228,3,0.3030000031,0.7990000248,223
229,4,0.5,0.57800000906,223
230,1,0.65299999714,0.7120000124,224
231,1,0.34799998999,0.75999999046,225
232,2,0.65200001001,0.75999999046,225
233,1,0.50800001621,0.68099999428,226
234,2,0.6629999876,0.70999997854,226
235,1,0.5,0.22900000215,227
236,4,0.5,0.60100001097,227
237,1,0.50499999523,0.38699999452,228
238,2,0.50499999523,0.56300002337,228
242,1,0.5,0.55000001192,249
257,1,0.5,0.22900000215,254
259,4,0.5,0.60100001097,254
679,1,0.24699999392,0.67000001669,489
681,2,0.75400000811,0.67000001669,489
775,1,0.49500000477,0.80000001192,559
777,1,0.49500000477,0.5870000124,561
879,1,0.29800000787,0.52700001001,664
881,2,0.7120000124,0.52300000191,664
885,1,0.5,0.57999998331,669
887,1,0.5,0.30000001192,671
889,1,0.49200001359,0.72500002384,670
