ID,Multiplier
1,1
2,0.76923078299
3,0.5917159915
4,0.45516613126
5,0.3501277864
6,0.26932907104
7,0.2071762085
8,0.15936630964
9,0.12258947641
10,0.09429959208
11,0.07253815234
12,0.05579857528
13,0.04292198271
14,0.03301690891
15,0.02539762296
16,0.01953663304
26,0.01953659952
17,0.01953663304
18,0.01953663304
19,0.01953663304
20,0.01953663304
21,0.01953663304
22,0.01953663304
23,0.01953663304
24,0.01953663304
25,0.01953663304
27,0.01953659952
28,0.01953659952
29,0.01953659952
30,0.01953659952
