ID,Rot_0,Rot_1,Rot_2,Rot_3,TimeIndex,GameObjectsID
1,0,0,0,-1,0,194301
2,0,0.72693097591,0,-0.68671101332,7467,194301
3,0,0.99942398071,0,-0.03394399956,10933,194301
4,0,0.72355902195,0,0.69026201963,12167,194301
5,0,0.01573299989,0,0.99987602234,15733,194301
6,0,0.01266499981,0,0.99992001057,21067,194301
7,-0.00779799977,-0.00997999962,-0.61565601826,-0.7879139781,22833,194301
8,-0.01242499985,0.00245600007,-0.98093998432,0.19389800727,25533,194301
9,0,0,0,1,0,194303
10,0.71761399508,0,0,-0.69644099474,8233,194303
11,-0.48516899347,0.52875500917,0.51315397024,0.47085401416,10300,194303
12,-0.67530697584,0.05737100169,0.73458600044,0.03243700042,11533,194303
13,-0.0087799998,0.02083400078,0.99778699875,0.06252600253,15667,194303
14,-0.38473299146,0.21471400559,0.78972798586,0.42685899138,24767,194303
15,-0.01017799973,0.00337999989,0.36539798975,0.93079000711,27667,194303
21,0,0,0,1,0,194345
22,0,0,0,1,37700,194345
23,0,0,0.00103799999,0.99999898672,38933,194345
24,0,0,0.0082390001,0.99996602535,39333,194345
25,0,0,0.0329569988,0.99945700169,40133,194345
26,0,0,0.05680600181,0.99838501215,40733,194345
27,0,0,0.09031499922,0.99591302872,41400,194345
28,0,0,0.13451999426,0.99091100693,42133,194345
29,0,0,0.19715900719,0.98037201166,43067,194345
30,0,0,0.27493399382,0.96146297455,44133,194345
31,0,0,0.3785200119,0.92559301853,45467,194345
32,0,0,0.57586401701,0.81754499674,48067,194345
33,0,0,0.65418702364,0.75633299351,49167,194345
34,0,0,0.81688201427,0.57680398226,51667,194345
35,0,0,0.868457973,0.49576199055,52700,194345
36,0,0,0.94086098671,0.33879300952,54667,194345
37,0,0,0.9600200057,0.27993199229,55433,194345
38,0,0,0.97725498676,0.21206699312,56400,194345
39,0,0,0.99090701342,0.13455100358,57567,194345
40,0,0,0.996506989,0.08350899816,58433,194345
41,0,0,0.99867802858,0.05139899999,59067,194345
42,0,0,0.99969798326,0.02456399985,59767,194345
43,0,0,0.99997097254,0.00757500017,60333,194345
44,0,0,1,0.00064799999,60767,194345
45,0,0,1,-0.00082999998,102167,194345
46,0,0,0.99996501207,-0.00837999955,102567,194345
47,0,0,0.99939602613,-0.03475600109,103367,194345
48,0,0,0.99834501743,-0.05750099942,103900,194345
49,0,0,0.99595099688,-0.08990100026,104500,194345
50,0,0,0.99051302671,-0.13741600513,105233,194345
51,0,0,0.98130899668,-0.1924380064,106000,194345
52,0,0,0.96667098999,-0.25602298975,106800,194345
53,0,0,0.93176102638,-0.36307299137,108067,194345
54,0,0,-0.81156897545,0.58425700665,110767,194345
55,0,0,-0.74869400263,0.66291600466,111800,194345
56,0,0,-0.56107902527,0.82776200771,114200,194345
57,0,0,-0.48696601391,0.87342101336,115067,194345
58,0,0,-0.34740298986,0.93771600723,116700,194345
59,0,0,-0.28647300601,0.95808798075,117433,194345
60,0,0,-0.22060899436,0.97536200285,118300,194345
61,0,0,-0.14676299691,0.98917198181,119333,194345
62,0,0,-0.08635199815,0.99626499414,120300,194345
63,0,0,-0.05149200186,0.99867302179,120933,194345
64,0,0,-0.02437699959,0.99970299006,121567,194345
65,0,0,-0.00788099971,0.99996900558,122067,194345
66,0,0,-0.00075100001,1,122467,194345
67,0,0,0,1,128333,194345
81,0,0,4e-06,1,33,194350
82,0,0,4e-06,1,37733,194350
83,0,0,0.00104200002,0.99999898672,38967,194350
84,0,0,0.00824300013,0.99996602535,39367,194350
85,0,0,0.03296099976,0.99945700169,40167,194350
86,0,0,0.05681100115,0.99838501215,40767,194350
87,0,0,0.09031900018,0.99591302872,41433,194350
88,0,0,0.13452500105,0.99090999365,42167,194350
89,0,0,0.1971630007,0.98037099838,43100,194350
90,0,0,0.27493798733,0.96146202087,44167,194350
91,0,0,0.37852400541,0.92559200525,45500,194350
92,0,0,0.57586801052,0.81754302979,48100,194350
93,0,0,0.65419000387,0.75633001328,49200,194350
94,0,0,0.81688499451,0.57680100203,51700,194350
95,0,0,0.86845999956,0.49575901031,52733,194350
96,0,0,0.94086199999,0.33878898621,54700,194350
97,0,0,0.96002101898,0.27992799878,55467,194350
98,0,0,0.97725600004,0.21206299961,56433,194350
99,0,0,0.99090701342,0.13454699516,57600,194350
100,0,0,0.996506989,0.08350499719,58467,194350
101,0,0,0.99867802858,0.05139499903,59100,194350
102,0,0,0.99969798326,0.02456000075,59800,194350
