ID,Position_0,Position_1,Position_2,SoundEmittersID,Field_11_0_0_54210_002
1593,4456.5922851562,1136.0191650391,104.52686309815,4303,0
1594,4444.4165039062,1135.71875,46.87710189819,4303,1
1597,4621.9340820312,1243.4357910156,111.35125732422,4309,0
1598,4633.4360351562,1241.8472900391,6.8099770546,4309,1
1603,4624.4975585938,1411.6267089844,138.89962768555,4312,0
1604,4641.9096679688,1414.4045410156,31.69889068604,4312,1
1605,4175.1005859375,1251.859375,546.55499267578,4327,0
1606,4177.119140625,1251.21875,473.83947753906,4327,1
1607,4089.3254394531,313.28820800781,171.80221557617,4328,0
1608,4104.2846679688,310.13195800781,59.0011177063,4328,1
1609,4149.9438476562,325.89410400391,17.8744468689,4328,2
1610,1938.3629150391,-71.09375,454.15521240234,4386,0
1611,1948.171875,-86.328125,402.00244140625,4386,1
1612,2024.2379150391,-50.61632156372,437.83950805664,4387,0
1613,2028.7795410156,-58.94791793823,393.45007324219,4387,1
1614,1987.6110839844,-58.36111068726,452.74267578125,4392,0
1615,1989.53125,-71.79340362549,420.28689575195,4392,1
1616,1987.0885009766,-82.85764312744,392.1875,4392,2
1617,2231.9582519531,-59.33854293823,376.92691040039,4396,0
1618,2215.7707519531,-55.64930725098,420.09722900391,4396,1
1619,2141.9738769531,-352.54165649414,382.6721496582,4416,0
1620,2155.7136230469,-347.81423950195,304.8454284668,4416,1
1621,2149.2534179688,-307.11807250977,382.90713500977,4417,0
1622,2169.6145019531,-312.31423950195,308.12847900391,4417,1
1623,2156.3125,-230.06076049805,387.111328125,4418,0
1624,2170.5920410156,-227.24479675293,303.74014282227,4418,1
1625,2152.3298339844,-148.34548950195,386.90493774414,4421,0
1626,2172.9497070312,-157.79341125488,312.44778442383,4421,1
1630,2430.5070800781,-199.265625,283.4384765625,4428,0
1631,2441.6701660156,-198.58680725098,186.76388549805,4428,1
1632,2449.2761230469,-173.68229675293,2.48997306824,4428,2
1635,1641.1197509766,-360.06076049805,364.73513793945,4467,0
1636,1670.0173339844,-362.48959350586,364.38272094727,4467,1
1637,713.36114501953,275.26388549805,343.42169189453,4497,0
1638,740.46179199219,262.41839599609,343.08642578125,4497,1
1646,536.36981201172,-964.96356201172,171.78973388672,4525,0
1647,526.125,-975.10418701172,78.50915527344,4525,1
1648,-355.64758300781,-1891.7760009766,118.90628051758,4551,0
1649,-364.00173950195,-1879.0728759766,68.376953125,4551,1
1650,-365.50521850586,-1844.4392089844,50.96709060669,4551,2
1651,-374.234375,-1813.75,4.75033760071,4551,3
1652,-368.75173950195,-1827.1458740234,38.30417633057,4551,4
1653,431.46353149414,-2531.7917480469,172.37370300293,4561,0
1654,419.31423950195,-2534.9426269531,106.51602935791,4561,1
1655,401.55728149414,-2540.8315429688,46.11574935913,4561,2
1656,432.87673950195,-2492.578125,127.38744354248,4565,0
1657,429.15798950195,-2482.0017089844,85.05227661133,4565,1
1658,429.75,-2462.1650390625,40.92973709106,4565,2
1659,1136.7552490234,-2684.9914550781,127.61389160156,4585,0
1660,1144.6129150391,-2688.0383300781,95.28704071045,4585,1
1661,1156.2622070312,-2639.2917480469,132.33430480957,4586,0
1662,1161.5625,-2642.5971679688,95.03341674805,4586,1
1663,1233.8524169922,-2683.7622070312,90.6166229248,4587,0
1664,1249.4322509766,-2703.8508300781,2.93750858307,4587,1
1665,1237.7170410156,-2657.7377929688,88.87310791016,4588,0
1666,1260.859375,-2659.4479980469,8.8392162323,4588,1
1667,1147.9427490234,-2718.4045410156,88.799659729,4589,0
1668,1148.1441650391,-2737.359375,37.13173294067,4589,1
1669,1150.8489990234,-2748.90625,1.73809099197,4589,2
1670,1686.6180419922,-2566.2934570312,147.00720214844,4600,0
1671,1689.8125,-2584.4323730469,90.50061035156,4600,1
1672,1690.3090820312,-2595.4619140625,81.76202392578,4600,2
1673,1695.3663330078,-2601.7917480469,16.66180038452,4600,3
1674,1694.1441650391,-2618.5051269531,0.50608110428,4600,4
1675,2576.2316894531,-2270.5346679688,118.7509765625,4628,0
1676,2576.9914550781,-2301.3837890625,82.24034118652,4628,1
1677,2583.5930175781,-2305.9738769531,71.22099304199,4628,2
1678,2581.9453125,-2312.1926269531,4.60862207413,4628,3
1679,2538.4765625,-1752.7482910156,391.59466552734,4631,0
1680,2534.9331054688,-1761.0122070312,342.16339111328,4631,1
1681,2538.6572265625,-1774.0122070312,310.64810180664,4631,2
1682,2528.3410644531,-1784.7795410156,299.5778503418,4631,3
1683,2505.6684570312,-1788.0850830078,274.24099731445,4631,4
1684,2478.4201660156,-1809.0607910156,253.97151184082,4631,5
1685,2595.8186035156,-1376.4635009766,452.75991821289,4646,0
1686,2590.1076660156,-1369.1961669922,389.21127319336,4646,1
1687,2303.8837890625,-1008.6995849609,511.3395690918,4654,0
1688,2296.5051269531,-1007.5347290039,455.48611450195,4654,1
1689,2274.9252929688,-1031.9097900391,449.06207275391,4654,2
1690,2265.7221679688,-1044.1632080078,427.68185424805,4654,3
1691,2256.5051269531,-1056.7829589844,426.14505004883,4654,4
1692,2211.9792480469,-1097.0728759766,417.75421142578,4658,0
1693,2199.9636230469,-1101.515625,404.15435791016,4658,1
1694,2192.3090820312,-1101.1614990234,367.20858764648,4658,2
1695,1629.265625,-1912.3107910156,376.83935546875,4665,0
1696,1618.8367919922,-1900.5347900391,258.20425415039,4665,1
1697,-1076.4392089844,1412.1649169922,6.40625,4683,0
1698,-1077.1684570312,1412.9583740234,132.42549133301,4683,1
1699,-1074.4254150391,1383.3055419922,131.5936126709,4683,2
1700,-1077.3524169922,1381.3992919922,6.09709072113,4683,3
1701,-681.15972900391,80.30902862549,119.78787231445,4690,0
1702,-710.58508300781,73.69097137451,24.65451431274,4690,1
1703,292.80902099609,347.17361450195,184.41188049316,4712,0
1704,290.40103149414,348.72048950195,143.47860717773,4712,1
1705,4186.7329101562,1252.9757080078,431.54824829102,4820,0
1706,4172.4350585938,1238.4739990234,556.37377929688,4820,1
1707,4171.4663085938,1266.8107910156,556.39331054688,4820,2
1708,4186.4819335938,1253.1475830078,432.6877746582,4820,3
1709,4190.59375,1252.5867919922,448.23138427734,4826,0
