ID,Quality_0,Quality_1,Quality_2,Quality_3,Quality_4,Quality_5,Quality_6,ItemLevel
1,20.6336479187,21.77996063232,22.9262752533,22.9262752533,22.9262752533,22.9262752533,22.9262752533,1
2,22.50943374634,23.75995635986,25.01048088074,25.01048088074,25.01048088074,25.01048088074,25.01048088074,2
3,24.38521957397,25.73995399475,27.09468841553,27.09468841553,27.09468841553,27.09468841553,27.09468841553,3
4,26.26100540161,27.71994972229,29.17889404297,29.17889404297,29.17889404297,29.17889404297,29.17889404297,4
5,28.13679122925,29.69994735718,31.26310157776,31.26310157776,31.26310157776,31.26310157776,31.26310157776,5
6,30.01257705688,31.67994308472,33.34730911255,33.34730911255,33.34730911255,33.34730911255,33.34730911255,6
7,31.88836288452,33.65993881226,35.43151473999,35.43151473999,35.43151473999,35.43151473999,35.43151473999,7
8,33.76414871216,35.63993453979,37.51572036743,37.51572036743,37.51572036743,37.51572036743,37.51572036743,8
9,35.63993453979,37.61993408203,39.59992980957,39.59992980957,39.59992980957,39.59992980957,39.59992980957,9
10,37.51572036743,39.59992980957,41.68413543701,41.68413543701,41.68413543701,41.68413543701,41.68413543701,10
11,39.39151000977,41.57992553711,43.76834106445,43.76834106445,43.76834106445,43.76834106445,43.76834106445,11
12,41.2672958374,43.55992126465,45.85255050659,45.85255050659,45.85255050659,45.85255050659,45.85255050659,12
13,43.14308166504,45.53991699219,47.93675613403,47.93675613403,47.93675613403,47.93675613403,47.93675613403,13
14,45.01886749268,47.51991271973,50.02096176147,50.02096176147,50.02096176147,50.02096176147,50.02096176147,14
15,46.89465332031,49.49991226196,52.10517120361,52.10517120361,52.10517120361,52.10517120361,52.10517120361,15
16,48.77043914795,51.4799079895,54.18937683105,54.18937683105,54.18937683105,54.18937683105,54.18937683105,16
17,50.64622497559,53.45990371704,56.2735824585,56.2735824585,56.2735824585,56.2735824585,56.2735824585,17
18,52.52201080322,55.43989944458,58.35778808594,58.35778808594,58.35778808594,58.35778808594,58.35778808594,18
19,54.39779663086,57.41989517212,60.44199752808,60.44199752808,60.44199752808,60.44199752808,60.44199752808,19
20,56.2735824585,59.39989471436,62.52620315552,62.52620315552,62.52620315552,62.52620315552,62.52620315552,20
21,57.22149658203,60.40046691895,63.57944107056,63.57944107056,63.57944107056,63.57944107056,63.57944107056,21
22,58.12201309204,61.35101318359,64.58001708984,64.58001708984,64.58001708984,64.58001708984,64.58001708984,22
23,58.97629165649,62.25275421143,65.52921295166,65.52921295166,65.52921295166,65.52921295166,65.52921295166,23
24,59.78592300415,63.10736465454,66.42880249023,66.42880249023,66.42880249023,66.42880249023,66.42880249023,24
25,60.55289077759,63.91693878174,67.28099060059,67.28099060059,67.28099060059,67.28099060059,67.28099060059,25
26,61.27951049805,64.68392944336,68.08834075928,68.08834075928,68.08834075928,68.08834075928,68.08834075928,26
27,62.03527450562,65.48167419434,68.92807769775,68.92807769775,68.92807769775,68.92807769775,68.92807769775,27
28,62.82103729248,66.31109619141,69.80114746094,69.80114746094,69.80114746094,69.80114746094,69.80114746094,28
29,63.6376914978,67.17311859131,70.70854949951,70.70854949951,70.70854949951,70.70854949951,70.70854949951,29
30,64.48617553711,68.06874084473,71.65130615234,71.65130615234,71.65130615234,71.65130615234,71.65130615234,30
31,65.3674697876,68.99899291992,72.63052368164,72.63052368164,72.63052368164,72.63052368164,72.63052368164,31
32,66.28260040283,69.96496582031,73.64733123779,73.64733123779,73.64733123779,73.64733123779,73.64733123779,32
33,67.23262786865,70.9677734375,74.70291900635,74.70291900635,74.70291900635,74.70291900635,74.70291900635,33
34,68.21868896484,72.00861358643,75.7985458374,75.7985458374,75.7985458374,75.7985458374,75.7985458374,34
35,69.24195098877,73.088722229,76.93550109863,76.93550109863,76.93550109863,76.93550109863,76.93550109863,35
36,70.30364227295,74.2093963623,78.11515808105,78.11515808105,78.11515808105,78.11515808105,78.11515808105,36
37,71.40504455566,75.37199401855,79.33894348145,79.33894348145,79.33894348145,79.33894348145,79.33894348145,37
38,72.54750823975,76.57792663574,80.60834503174,80.60834503174,80.60834503174,80.60834503174,80.60834503174,38
39,73.73242950439,77.82867431641,81.92491912842,81.92491912842,81.92491912842,81.92491912842,81.92491912842,39
40,74.96128082275,79.12580108643,83.2903137207,83.2903137207,83.2903137207,83.2903137207,83.2903137207,40
41,76.23560333252,80.47091674805,84.70623016357,84.70623016357,84.70623016357,84.70623016357,84.70623016357,41
42,77.55699920654,81.86572265625,86.17444610596,86.17444610596,86.17444610596,86.17444610596,86.17444610596,42
43,78.92715454102,83.31199645996,87.69683837891,87.69683837891,87.69683837891,87.69683837891,87.69683837891,43
44,80.34782409668,84.81158447266,89.27535247803,89.27535247803,89.27535247803,89.27535247803,89.27535247803,44
45,81.82083892822,86.36644744873,90.91204833984,90.91204833984,90.91204833984,90.91204833984,90.91204833984,45
46,83.34814453125,87.97859191895,92.60904693604,92.60904693604,92.60904693604,92.60904693604,92.60904693604,46
47,84.93173217773,89.65016174316,94.36859130859,94.36859130859,94.36859130859,94.36859130859,94.36859130859,47
48,86.57372283936,91.3833770752,96.19302368164,96.19302368164,96.19302368164,96.19302368164,96.19302368164,48
49,88.27631378174,93.18055725098,98.08479309082,98.08479309082,98.08479309082,98.08479309082,98.08479309082,49
50,90.04181671143,95.04414367676,100.0464630127,100.0464630127,100.0464630127,100.0464630127,100.0464630127,50
51,91.87264251709,96.97667694092,102.08071899414,102.08071899414,102.08071899414,102.08071899414,102.08071899414,51
52,93.77132415771,98.98083496094,104.19035339356,104.19035339356,104.19035339356,104.19035339356,104.19035339356,52
53,95.74049377441,101.05941009522,106.37832641602,106.37832641602,106.37832641602,106.37832641602,106.37832641602,53
54,97.7829284668,103.21531677246,108.64769744873,108.64769744873,108.64769744873,108.64769744873,108.64769744873,54
55,99.90153503418,105.45162200928,111.00170135498,111.00170135498,111.00170135498,111.00170135498,111.00170135498,55
56,102.09934234619,107.77152252197,113.44371032715,113.44371032715,113.44371032715,113.44371032715,113.44371032715,56
