ID,Duration,FadeIn,FadeOut,FresnelCoefficient,GlowRed,GlowGreen,GlowBlue,GlowAlpha,GlowMultiplier,Flags,InitialDelay,CurveID,Priority,Field_12_1_0_68569_013
13,0,0,0,0,1,1,1,1,1,0,0,0,0,-1
14,0,0,0,0,1,1,1,1,1,0,0,106,0,-1
60,2,1,0.30000001192,1,0.39215689898,0.04705882818,0.10196079314,1,1,1,0,0,0,-1
85,0,0.10000000149,0.30000001192,1,1,0.34509804845,0,1,1,0,0,0,0,-1
88,0,0.30000001192,0.30000001192,0.89999997616,0.09803922474,0.42352944613,0.75686281919,0.5,1,0,0,0,0,-1
106,0,0.30000001192,0.30000001192,1,0.59215688705,0.28627452254,0.87058830261,0.30000001192,1,0,0,0,0,-1
114,10,1,1,1,0.80392163992,0.45490199327,0,0.5,1,0,0,0,0,-1
116,1,0,0.25,0.85000002384,0.64313727617,0.46274513006,0,0.250980407,0.5,0,0,106,0,-1
119,8,2,2,1,0,0.40784317255,1,0.5,1.5,0,0,0,0,-1
121,0,0.30000001192,0.30000001192,0.89999997616,0.68235296011,0.1882353127,0.11372549832,0.5,1,0,0,0,0,-1
123,0,0.5,0.5,0.89999997616,0.21960785985,0.13725490868,0.76862752438,0.5,1,0,0,0,0,-1
124,0,1,1,1,0.99607849121,1,0.58823531866,0.20000000298,1,0,0,0,0,-1
125,0,1,3,1,0.98823535442,1,0.71372550726,0.20000000298,1,0,0,0,0,-1
126,0,3,0,1,0.98039221764,1,0.66666668653,0.10000000149,0.75,0,0,0,0,-1
129,0.1099999994,0.05000000075,0.43000000715,1.79999995232,0.61176472902,0.24705883861,1,1,4.5,0,0,0,0,-1
131,0.00999999978,0,0.75,1.79999995232,0.61176472902,0.24705883861,1,1,3,0,0,0,0,-1
132,0.00999999978,0,2,1.79999995232,0.61176472902,0.24705883861,1,1,1.5,0,0,0,0,-1
137,0,0.5,0.5,0.89999997616,0.95294123888,0.33333334327,0.06274510175,0.5,0.40000000596,0,0,0,0,-1
138,0,0.5,0.5,0.89999997616,0.78431379795,0.88627457619,0.88627457619,0.5,0.60000002384,0,0,0,0,-1
139,1,0.30000001192,3,0.89999997616,0.65882354975,0.16078431904,0.13725490868,0.5,0.75,0,0,0,0,-1
140,1,0.30000001192,3,0.89999997616,0.13725490868,0.31764706969,0.65882354975,0.5,0.89999997616,0,0,0,0,-1
141,1,0.30000001192,3,0.89999997616,0.12941177189,0.52156865597,0.14509804547,0.5,0.75,0,0,0,0,-1
142,0.5,0.15000000596,3,0.89999997616,0.66666668653,0.57647061348,0.74117648602,0.5,1,0,0,0,0,-1
143,1,0.5,1,0.89999997616,1,0,0,0.89999997616,1,0,0,0,0,-1
144,0,1,3,1,0.83137261868,0.09803922474,0.93725496531,0.20000000298,1,0,0,0,0,-1
147,0,1,3,1,0.73333334923,0.09803922474,0.9411765337,0.20000000298,1,0,0,0,0,-1
148,0,1,3,1,1,0,0.89411771297,0.20000000298,1,0,0,0,0,-1
150,0,1,0.30000001192,1.10000002384,0.65490198135,0.91372555494,0.26274511218,1,0.80000001192,0,0,0,0,-1
151,0,1,3,1,0.9411765337,0.96078437567,0.59607845545,0.20000000298,1,0,0,0,0,-1
153,0.40000000596,0.10000000149,0.30000001192,1,0.92156869173,0.36470589042,0.20392158628,1,1.5,0,0,106,0,-1
154,0,0.15000000596,0.30000001192,1.20000004768,0.92941182852,0.38823533058,0.13725490868,1,0.80000001192,0,0,0,0,-1
156,0,1,3,1,0.21176472306,1,0.21176472306,0.20000000298,1,0,0,0,0,-1
157,0,1,3,1,0.91372555494,0.14901961386,0.94901967049,0.20000000298,1,0,0,0,0,-1
158,0,1,0,1,0.77647066116,0.94509810209,1,0.20000000298,1,0,0,0,0,-1
159,0,1,0,1,0.91372555494,0,1,0.20000000298,1,0,0,0,0,-1
160,0,1,0,1,0.86274516582,0.54117649794,0.91764712334,0.05000000075,1.5,0,0,0,0,-1
161,0,1,1,2,0.25490197539,0.6901960969,0.25490197539,1,1,0,0,0,0,-1
162,0,10,0,2,0,0.45490199327,1,1,1,0,0,0,0,-1
163,0,1,0.30000001192,1.10000002384,0.17647059262,0.80392163992,0.15294118226,1,0.80000001192,0,0,0,0,-1
164,0,10,3,2,0,0.45490199327,1,1,1,0,0,0,0,-1
165,0,3,0,1,0.04313725606,0.93333339691,0.00784313772,0.20000000298,1,0,0,0,0,-1
166,0,0.10000000149,0.5,1.29999995232,0.10196079314,0.96470594406,0.15294118226,0.5,0.75,0,0,0,0,-1
167,0,3,2,2,0.30588236451,0.83137261868,0.27450981736,1,1,0,0,0,0,-1
168,0,1,0,1,0.84313732386,0.49019610882,1,0.05000000075,1.5,0,0,0,0,-1
171,0,10,0.5,2,0.67450982332,0.39215689898,0.83529418707,1,1,0,0,0,0,-1
174,0,0.20000000298,0.40000000596,0.89999997616,0.23137256503,0.03137255087,0.5647059083,0.99607849121,1.5,0,0,106,0,-1
175,0,1,0.30000001192,1.10000002384,0.35294118524,0.90980398655,0.19215688109,1,0.80000001192,0,0,0,0,-1
176,0,0.10000000149,0.30000001192,1,0.99215692282,0.14117647707,0,1,1,0,0,0,0,-1
183,0,0,0,1,0.52156865597,0.79607850313,1,0.5,0.25,0,0,0,0,-1
184,0,0,0,1,0.18039216101,0.70196080208,0.36862745881,0.5,0.25,0,0,0,0,-1
185,5,1,5,0.5,0.60392159224,0.36862745881,0.61960786581,0.10000000149,1,0,0,0,0,-1
188,0,0,1,2,0.66666668653,0.36078432202,0.78039222956,1,2,0,0,0,0,-1
189,0,0.5,0.5,0.5,0.14117647707,0.90980398655,0.1254902035,1,1,0,0,0,0,-1
190,0,0.5,0.5,0.5,0.6235294342,0.24705883861,0.7529412508,1,1,0,0,0,0,-1
192,0.10000000149,0.10000000149,0.30000001192,1,0.18039216101,0.89019614458,0.14509804547,1,1,1,0,0,0,-1
199,0.10000000149,0.10000000149,0.30000001192,8,0.501960814,0.501960814,0.501960814,1,1.75,1,0,106,0,-1
200,0.10000000149,0.10000000149,0.20000000298,8,0.53725492954,0.31764706969,0.68235296011,1,2,1,0,106,0,-1
201,0.10000000149,0.10000000149,0.30000001192,8,0.32156863809,0.6235294342,0.32156863809,1,0.80000001192,1,0,106,0,-1
202,0.10000000149,0.10000000149,0.30000001192,8,0.66274511814,0.33725491166,0.33725491166,1,2,1,0,106,0,-1
203,0.10000000149,0.10000000149,0.30000001192,8,0.30196079612,0.29803922772,0.70196080208,1,2.5,1,0,106,0,-1
204,0.10000000149,0.10000000149,0.30000001192,8,0.67843139172,0.68235296011,0.31764706969,1,0.80000001192,1,0,106,0,-1
205,0.10000000149,0.10000000149,0.30000001192,8,0.71372550726,0.52549022436,0.32156863809,1,1.75,1,0,106,0,-1
206,0.10000000149,0.10000000149,0.20000000298,8,0,0,0,1,1,1,0,106,0,-1
208,0,0.5,1,2,0.82745105028,0.22352942824,0.84313732386,1,1,0,0,0,0,-1
210,0,0.5,1,2,0.39215689898,0.72941178083,0.47058826685,1,1,0,0,0,0,-1
213,0,0.5,0.5,1,0.66666668653,0.3764706254,0.83137261868,0.05000000075,1.5,0,0,0,0,-1
214,0.5,0.10000000149,1,0.5,0.52941179276,0.79215693474,0.96470594406,0,0.30000001192,2,0,106,0,-1
219,0,0,0,0.80000001192,0.79215693474,0.1882353127,0.1882353127,1,1,0,0,0,0,-1
220,6,3,1,1.75,0.31764706969,0.67843139172,0.40784317255,1,2,0,0,0,0,-1
221,0.10000000149,0.10000000149,0.30000001192,1,0.39215689898,0.93333339691,0.59607845545,1,1.5,0,0,0,0,-1
222,0,0.25,0.30000001192,0.60000002384,1,0.34509804845,0.34509804845,0,1,0,0,0,0,-1
223,0,0.25,0.30000001192,0.60000002384,0.501960814,1,0.45882356167,0,1,0,0,0,0,-1
224,0,0.25,0.30000001192,0.60000002384,0.22745099664,0.27450981736,1,0,1,0,0,0,0,-1
225,0,0.25,0.30000001192,0.60000002384,0.99607849121,0.89019614458,0.27843138576,0,1,0,0,0,0,-1
226,0,0.25,0.30000001192,0.60000002384,0.6235294342,0.20784315467,1,0,1,0,0,0,0,-1
227,0,0.25,0.30000001192,0.60000002384,0.20784315467,0.89019614458,1,0,1,0,0,0,0,-1
228,0,0.25,0.30000001192,0.60000002384,1,1,1,0,0.5,0,0,0,0,-1
229,0,0.25,0.30000001192,0.34999999404,0,0,0,1,0,0,0,0,0,-1
233,0,3,0,1,0.21176472306,0.84705889225,0.21176472306,0.20000000298,1,0,0,0,0,-1
234,0,0.10000000149,0.30000001192,1,1,0.05882353336,0,1,1,0,0,0,0,-1
235,0,0,0,1,0.02745098248,0.98823535442,0.31764706969,0.00999999978,0.20000000298,0,0,0,0,-1
236,0,1,2,1.5,0.93725496531,0.30588236451,0.93725496531,0.40000000596,0.75,0,0,0,0,-1
239,0,1,0,1,0.32549020648,0.94509810209,0.42745101452,0.05000000075,1.5,0,0,0,0,-1
252,0,0,0,5,0.6901960969,0,0,5,1,0,0,0,0,-1
255,0,0.5,0.5,1,0.63137257099,1,0.94509810209,1,1,0,0,0,0,-1
256,0,0.5,0.5,0.5,0.29411765933,0.21176472306,0.53333336115,1,0.69999998808,0,0,0,0,-1
258,0,0,0,1,0,0.73725491762,0.57647061348,1,1,0,0,0,0,-1
259,0,0,0,1,0.80392163992,0,0.85098046064,1,1,0,0,0,0,-1
260,0,0,0,1,1,0.33725491166,0,1,1,0,0,0,0,-1
263,0,1,0.5,2,0.6235294342,0.29803922772,0.85882359743,1,1,0,0,0,0,-1
266,1,0.20000000298,0.80000001192,0.80000001192,0.41176474094,0.70196080208,0.60784316063,0.40000003576,0.40000000596,0,0,106,0,-1
267,0,0.10000000149,0.30000001192,0.60000002384,0.81176477671,0.81176477671,0.81176477671,1,1.29999995232,0,0,106,0,-1
269,0,1,1,0.5,1,0,0,1,1,0,0,0,0,-1
271,0,0,0,1,0.02745098248,0.98823535442,0.31764706969,0.00999999978,0.30000001192,0,0,0,0,-1
272,1,0.5,0.5,0.69999998808,0.90588241816,0.14509804547,0.14509804547,1,1,0,2,106,0,-1
277,0.64999997616,0.20000000298,0.30000001192,1,0.35686275363,0.14901961386,0.64705884457,1,1.5,0,0,0,0,-1
282,0,0,0,1,0.87058830261,0,1,1,3,0,0,0,0,-1
283,0,0.5,0.5,1.5,0.40392160416,0.83529418707,1,1,1.5,0,0,106,0,-1
284,0,0,0,0.75,0.67058825493,0,0.8784314394,1,1,0,0,0,0,-1
285,0,0,0,1,0,0.3764706254,1,1,3,0,0,0,0,-1
288,0,1,0.30000001192,1.10000002384,0.88627457619,0.31764706969,0.28235295415,1,1.20000004768,0,0,0,0,-1
290,0,0,0,0.75,0,0.6274510026,0.17647059262,1,1,0,0,0,0,-1
291,0,0.30000001192,0.30000001192,0.89999997616,0.50980395079,0,0.67843139172,0.5,1,0,0,0,0,-1
292,0,1,0,1.5,0.54509806633,0.74509805441,0.73725491762,1,1,0,0,0,0,-1
293,2,1,1,0.85000002384,0.97254908085,0.70588237047,0.23921570182,1,2,0,0,0,0,-1
295,2,1,1,0.85000002384,0.40784317255,0.98039221764,0.30588236451,1,2,0,0,0,0,-1
296,8,5.5,0.5,40,0.52941179276,0.94509810209,0,1,3,1,1,0,0,-1
297,2,1,1,0.69999998808,1,1,0.73725491762,1,1,0,0,0,0,-1
298,2,1,1,1,0.52549022436,1,0,1,1,0,0,0,0,-1
300,0,1,1,1,0.13333334029,0.88235300779,0.26666668057,1,1,0,0,0,0,-1
301,0,0,0,1,0.70980393887,0,1,1,1,0,0,0,0,-1
303,4,3.5,0.25,0.89999997616,1,0.501960814,0,0.5,2,0,0,0,0,-1
304,4,3.5,0.25,0.89999997616,1,0.501960814,0,0.501960814,2,0,0,106,0,-1
308,1,1,1,2,0.41960787773,0.79215693474,0,1,1,0,0,0,0,-1
309,3,1,1,0.5,0.30588236451,0.44705885649,0,1,1,0,0,0,0,-1
310,3,1,1,0.5,0.98039221764,1,0.59215688705,1,1,0,0,0,0,-1
312,2,1,1,1,0,1,0.03137255087,1,1,0,0,0,0,-1
313,0,1,1,0.5,0.30588236451,0.44705885649,0,1,1,0,0,0,0,-1
314,0,1,1,0.5,0.98039221764,1,0.59215688705,1,1,0,0,0,0,-1
315,0,0,0,1,0.32941177487,0.65098041296,0.81960791349,1,0.5,0,0,0,0,-1
316,5,1,1,1,0.14117647707,1,0,1,1,0,0,0,0,-1
317,5,5,1,0.75,0.14117647707,0,0.6235294342,0.44999998808,0.64999997616,0,0,0,0,-1
318,0.47999998927,0,0.47999998927,0.75,0.16470588744,0,0.60000002384,0.44999998808,0.64999997616,0,8.85000038147,0,0,-1
319,0.34999999404,0,0.34999999404,1.5,0.33725491166,1,0.41960787773,1,0.5,0,0,0,0,-1
322,0,0,0,1,1,0.43137258291,0.97647064924,0.01999999955,0.30000001192,0,0,0,0,-1
325,0,1,0,0,1,0,0,1,1,0,0,106,0,-1
332,0,0.10000000149,0.30000001192,1,1,0.28235295415,0.16862745583,1,1,0,0,0,0,-1
333,0,0.5,0.5,1.5,1,0,0,1,0.5,0,0,0,0,-1
334,0,0,0,0.75,1,0.33725491166,0,1,1,0,0,0,0,-1
335,3,1,1,2,0.41960787773,0.79215693474,0,1,1,0,0,0,0,-1
336,3,1,1,2,1,1,0.73725491762,1,1,0,0,0,0,-1
337,1,1,1,2,1,1,0.73725491762,1,1,0,0,0,0,-1
341,0,0,0,0.94999998808,0.23137256503,0.93725496531,0.96862751245,0,0.5,0,0,0,0,-1
342,0,0,0,0.94999998808,0.52549022436,0.10196079314,0.93725496531,0,0.5,0,0,0,0,-1
343,0,0,0,0.89999997616,0.32156863809,0.70196080208,0.9411765337,0,0.5,0,0,0,0,-1
344,0,0,0,0.89999997616,0.23137256503,0.93725496531,0.96862751245,0,0.5,0,0,0,0,-1
345,3,0,0,0,0.63529413939,0.68235296011,0.89803928137,1,1,0,0,0,0,-1
